Miracle,FP_Cost,Slots,Faith_Req,Description,Acquisition,Notes
Heal Aid,27,1,8,Slightly restore HP.,Purchased from Shrine Handmaid for 500 souls,Starting spell for Herald
Heal,45,1,12,Restores HP for self and those in the vicinity.,Purchased from Irina of Carim for 1000 souls,Starting spell for Cleric
Med Heal,55,1,15,Restores moderate HP for self and those in the vicinity.,Purchased from Irina of Carim for 3500 souls,Requires Braille Divine Tome of Carim
Great Heal,65,1,25,Restores a large amount of HP for self and those in the vicinity.,Found at a corpse in the Irithyll of the Boreal Valley,
Soothing Sunlight,80,1,45,Restores a large amount of HP for self and those in the general area.,Acquired by Soul of the Dancer Transposition,
Replenishment,30,1,15,Gradually restores 5 HP/s,Purchased from Irina of Carim for 1000 souls,
Bountiful Light,45,1,25,Gradually restores 7 HP/s,Purchased from Irina of Carim for 5000 souls,Requires Braille Divine Tome of Lothric
Bountiful Sunlight,70,2,35,Gradually restores 10 HP/s,Acquired by Soul of Rosaria Transposition,
Caressing Tears,14,1,12,Cures bleeding/poison/frost for self and those in the vicinity.,Purchased from Irina of Carim for 1500 souls,
Tears of Denial,100,2,15,Grants one chance to endure when HP reaches 0.,Purchased from Irina of Carim for 10000 souls,Requires Braille Divine Tome of Carim
Homeward,30,1,18,Returns caster to the last bonfire used for resting or to the bonfire in the Firelink Shrine.,Purchased from Irina of Carim for 3000 souls,
Seek Guidance,15,1,12,Displays more help from other worlds and reveals summon signs without using an ember.,Looted from a corpse in Cathedral of the Deep. Just past the first giant^and down the stairs to the left. It's a sort of dark-ish room above^the Cathedral Knight with the mace.,
Sacred Oath,65,2,28,Applies a 10% (physical) AR buff and 10% damage absorption buff for 60 seconds.,Warriors of Sunlight Rank 1 reward,
Force,26,1,12,Creates a shockwave. While it inflicts no direct damage this miracle propels foes back and stagger them. Can also defend against incoming arrows.,Purchased from Irina of Carim for 1000 souls,Starting spell for Cleric^Requires Braille Divine Tome of Carim
Emit Force,20,1,18,Releases a shockwave in front.,Acquired by Siegward of Catarina during third encounter. Below Irithyll of the Boreal Valley in a kitchen just after a sewer area,
Wrath of the Gods,40,2,30,Create powerful shockwave.,Acquired by dropping from the ledge near the spellcaster on the roof in Profaned Capital,
Lightning Spear,23,1,20,Hurl lightning spear.,Use the elevator near the Old Wolf of Farron and take the stairs up. Turn to^the right and run to the closed gate.On the right side of the gate^drop down and follow the path. One of the items there is Lightning Spear,
Great Lightning Spear,32,1,30,Hurl giant lightning spear.,Warriors of Sunlight Rank 2 reward,
Sunlight Spear,48,1,40,Hurls a Sunlight Spear.,Acquired by Soul of the Lords Transposition,
Lightning Stake,34,1,35,Strikes with a stake of lightning.,Dropped by the giant worm just before the Old Demon King boss fight,
Lightning Storm,36,2,45,Calls forth furious bolts of lightning.,Acquired by Soul of the Nameless King Transposition,
Divine Pillars of Light,3,1,30,Bring down multiple pillars of light in vicinity.,Found at the top of the Grand Archives in a room after defeating three Ascended^Winged Knights on the rooftops before the stairs leading to the boss encounter,
Blessed Weapon,35,1,15,Blesses right weapon increasing attack power as well as gradually restoring HP.,Sold by Irina of Carim for 8000 souls,Requires Braille Divine Tome of Lothric
Lightning Blade,50,1,30,Reinforces right weapon with lightning.,Located in Irithyll Dungeon. Can be found in the area near the broken^dragon statue used to reach the Archdragon Peak,
Darkmoon Blade,50,1,30,Reinforces right weapon with (Magic) 'Darkmoon Light',Blades of the Darkmoon Covenant Rank 2 reward,
Magic Barrier,30,1,15,Increases magic damage absorption by covering the body in a white protective coating.,Sold by Irina of Carim for 5000 souls,Requires Braille Divine Tome of Lothric
Great Magic Barrier,40,2,25,Greatly increases magic damage absorption with coating.,Archdragon Peak: Found off a ledge where you find Havel and a dead dragon,
Dark Blade,35,1,25,Reinforces right weapon with dark.,Purchased from Irina of Carim or Karla for 10000 souls,Requires Londor Braille Divine Tome
Vow of Silence,35,2,30,Prevents the use of magic in an area.,Purchased from Irina of Carim or Karla for 15000 souls,Requires Londor Braille Divine Tome
Dead Again,45,1,23,Bless corpses and transorms them into traps.,Purchased from Irina of Carim or Karla for 5000 souls,Requires Londor Braille Divine Tome^Requires 15 Int
Atonement,15,1,18,Attracts more attention from foes.,Farron Keep Perimeter bonfire. Turn around 180 degrees and follow the^path until you reach a hole in the wall on your right. Drop down^on the ledge below. The spell will be on a corpse,
Deep Protection,25,1,20,Slightly boosts attack/damage absorption/resistance while also increasing stamina recovery speed,Purchased from Irina of Carim or Karla for 4000 souls,Requires Deep Braille Divine Tome
Gnaw,15,1,18,Summons insect swarm to feast on foes.,Purchased from Irina of Carim or Karla for 2000 souls,Requires Deep Braille Divine Tome
Dorhys' Gnawing,20,1,25,Summon great insect swarm to feast on foes.,Guaranteed kill reward from the screaming Evangelist in Irithyll of the^Boreal Valley. Found behind an illusory wall (fence).,
Lifehunt Scythe,20,1,22,Steals HP of foes using an illusory scythe.,Acquired from Soul of Aldrich Transposition,
Way of White Corona,15,1,18,White discus slices into foes and returns to conjurer.,Ashes of Ariandel DLC: Painted World of Ariandel. Corvian settlement in^the large house with 2 Corvian Knights.,
Projected Heal,55,1,28,Project a healing spell at an area.,The Ringed City DLC: After meeting Lapp for the first time in the Dreg Heap^jump off the right side of the bridge into a pile of ash. The spell^is located near a group of Murkmen and a Lothric Knight.,
Lightning Arrow,19,1,35,Fires a lightning arrow.,The Ringed City DLC: After fighting the dragon after the Shared Grave^bonfire it's just inside the building behind 3 illusory walls.,
