Name,Weight,Effect,Acquisition
Life Ring,0.3,Increases HP by 7%^+1 Version: 8%^+2 Version: 9%^+3 Version: 10%,Can be selected as a Burial Gift during character creation. Can be bought from the Shrine Handmaid in the Firelink Shrine for 1500 souls after aquiring the Dreamchaser's Ashes.@+1 Version (NG+): Undead Settlement - Behind Siegward while he is waiting to battle the fire demon.@+2 Version (NG+): Lothric Castle - From the dark room where you fight the pus of man in the wyvern's hand head outside from the back exit. Turn right and drop down off the ledge. The ring is on a corpse. This version can be picked up here starting in NG+.@+3 Version (NG++): Untended Graves - Behind Holy King Lothric's throne.
Sun Princess Ring,0.6,Gradually restores HP (2 per second),Found in Gwynevere's chamber after Aldrich's boss room.
Estus Ring,0.8,Increases HP restored with Estus Flask by 20%,Found at the bottom of the Tower on the left side of the Firelink Shrine. Requires the Tower Key sold by the Shrine Handmaid in Firelink Shrine for 20000 Souls.
Ashen Estus Ring,0.8,Increases FP restored with Ashen Estus Flask by 20%,Untended Graves - From the first bonfire head to the left most path. The ring is in the coffin surrounded by Corvians.
Chloranthy Ring,0.7,Raises stamina recovery speed by 7 stamina per second^+1 Version : 8 stamina per second^+2 Version : 9 stamina per second^+3 Version : 10 stamina per second,Undead Settlement - After defeating the Demon alongside Siegward of Catarina scale the nearby building and exit onto the adjacent tower by jumping from the roof. Maneuvering down the tower the ring will be located under several wooden boxes near the Mirrah Armor Set.@+1 Version (NG+) Irithyll of the Boreal Valley - Behind the pedestal with the Ring of the Sun's First Born on top of it. Easily accessible by falling from the ledge near Pontiff Sulyvhan's fog gate or walking from the Church of Yorshka.@+2 Version (NG++) From the first Road of Sacrifices bonfire head to the wagon with the two Corvians. To the left is a crow mage. To the left of him there's a ledge that you can drop down to that has the ring.@+3 Version (The Ringed City): Take the lift down from the Ringed Inner Wall bonfire. This is the shortcut and will be unlocked as you progress this area. As you go down look for the side passage and roll onto it as you go. Find the hole and drop down to the statue of Gwyn to find this ring.
Havel's Ring,1.5,Increases maximum equip load by 15%^+1 Version : 17%^+2 Version : 18%^+3 Version : 19%,Soul Transposition using Soul of a Stray Demon@+1 Version (NG+): Archdragon Peak - From the altar that gives you the Twinkling Dragon Torso Stone go back down the steps. The ring is to the right of the doorway.@+2 Version (NG++): On a wooden beam below the Prison Tower bonfire in Irithyll of the Boreal Valley/Anor Londo after Painting Guardian Curved Sword and the Painting Guardian Set.@+3 Version (The Ringed City): Just below where you get invaded by Silver Knight Ledo on the ledges above the swamp.
Ring of Favor,1.5,Increases max HP by 3% stamina by 9% and equip load by 5%^+1 Version : Increases max HP by 4.5%  stamina by 10% and equip load by 6%^+2 Version : Increases max HP by 5%  stamina by 11% and equip load by 7%^+3 Version : Increases max HP by 6%  max Stamina by 12% and Equip Load by 8%,Defeat Sulyvhan's Beasts near Archdeacon McDonnell@+1 Version (NG+): Can be found in the room of Pontiff Sulyvahn's bonfire but is located upstairs. It can be either accessed by the shortcut in the room or taking the path around.@+2 Version (NG++): Cathedral of the Deep - From the Cleansing chapel bonfire while facing the bonfire go through the left shortcut head up the elevator. Climb the ladder behind the tower then drop down to the ledge and follow the path to the top part of the chapel. To the left there is a hollow with a giant axe. behind him is this ring.@+3 Version (The Ringed City): Can be found on a corpse up a large root in the swamp just after the Earthen Peak Ruins bonfire. Retrieve it in order to progress Lapp's questline.
Prisoner's Chain,0.8,Increases Vigor/Endurance/Vitality by 5 but reduces absorptions by 4%.,Soul Transposition using Soul of Champion Gundyr
Ring of Steel Protection,0.8,Decreases incoming physical damage by 10% in PvE and 2% in PvP^+1 Version : 13% in PvE and 3% in PvP^+2 Version : 15% in PvE and 4% in PvP^+3 Version : 17% in PvE and 5% in PvP,Found in the boss arena where you fight the Ancient Wyvern. After entering through the fog gate head up the stairs until you locate the bell. Then proceed to the right downstairs. There are three items lying on the ground. Next to the items is a thin ledge that players can walk along. At the end of the path is the ring.@+1 Version (NG+): Untended Graves - Behind the tower that is unlocked by the Tower Key@+2 Version (NG++): Catacombs of Carthus - From the Abyss Watchers Bonfire go down and head left until you find a bridge to your right. The bridge will be defended by a large skeleton carrying a sword and shield. Look down to the left and you will notice an item on a pillar. Drop down from the bridge onto the pillar to obtain this ring. Turn around to find the Carthus Pyromancy Tome.@+3 Version (The Ringed City): Immediately after The Dreg Heap bonfire head forward and past the horde of enemies to a corpse. When you try to grab it you will fall and the ceiling will break and you will fall. Once at the bottom go out the only door and there will be an angel-like hollow firing projectiles at you. Drop down and run past it and take cover behind the building. Now circle around to the other side of the building along the planks (leaving yourself exposed to the Angel's beams) to find a corpse with the ring.
Magic Stoneplate Ring,0.6,Increases Magic Absorption by 13% in PvE and 4% in PvP^+1 Version : 17% in PvE and 5% in PvP^+2 Version : 20% in PvE and 6% in PvP,Dropped from the greatsword-wielding Consumed King's Knight guarding Oceiros the Consumed King@+1 Version (NG+): Farron Keep bonfire before the swamp. From that bonfire make a right and proceed to where the Basilisks are. The ring will be in this area.@+2 Version (NG++): Start from the Profaned Capital Bonfire.  Take the ladder down into the tower and head through the hole in the wall. From there turn right and go down the stairs. The ring is at the end of the stairs on the edge of a cliff.
Flame Stoneplate Ring,0.6,Increases Fire Absorption by 13% in PvE and 4% in PvP^+1 Version : 17% in PvE and 5% in PvP^+2 Version : 20% in PvE and 6% in PvP,Found on a corpse hanging at a tree overlooking the entrance of the tower with the giant in it at Undead Settlement (the same area where you enter the cage to join the Mound Makers).@+1 Version (NG+): Profaned Capital - In the area with the toxic swamp climb up the building's ladder and walk along the curved part of roof until you see a hole in the wall to your right.  Look down and directly across from the broken section of wall is a small ledge to drop onto. The ring will be on a corpse.@+2 Version (NG++): Demon Ruins - From the Old King's Antechamber bonfire go down the immediate stairs and follow the path until you come to a fork in the path. Left will be an illusionary wall where there will be a Black Knight fighting a Ghru. The ring will be on a corpse near a wall along with a Black Knight Sword.
Thunder Stoneplate Ring,0.6,Increases Lightning Absorption by 13% in PvE and 4% in PvP^+1 Version : 17% in PvE and 5% in PvP^+2 Version : 20% in PvE and 6% in PvP,Archdragon Peak: From the second bonfire proceed through the area until you get outside. Near the wooden scaffold there is a ladder which leads to the ring@+1 Version (NG+) Can be found near the Carthus Milkring among the many pots in the Catacombs of Carthus@+2 Version (NG++): Can be found before the Dragonslayer Armour Boss in Lothric Castle. Before the boss fight there's a door lit by torches. Proceed trough the door and up the stairs. Turn left trough another door then left again to find a hole in the stone railing. Drop down to the ledge below and turn right. Follow the ledge to find this ring. The ring is on the same small rooftop that you would drop down to get Caitha's Chime just on the opposite end.
Dark Stoneplate Ring,0.6,Increases Dark Absorption by 13% in PvE and 4% in PvP^+1 Version : 17% in PvE and 5% in PvP^+2 Version : 20% in PvE and 6% in PvP,In Anor Londo following the Pontiff Sulyvahn bonfire. The ring will be guarded by Irithyllian Slaves in an area beneath the Deacons casting Fireball.@+1 Version (NG+) : Lothric Castle - Before entering the fog gate for the Dragonslayer Armour head left and drop down to fight the Pus of Man on the white Wyvern. Next to the Wyvern is a room with a mimic and a doorway out to a balcony. This ring is located on right side the balcony.@+2 Version (NG++): Farron Keep at the Keep Ruins bonfire. Leave the room where you find 3 Ghru enemies on a bridge. Cross the bridge and you can find a dilapidated wall to your left. In front of the wall is a flame you need to extinguish to reach the Abyss Watchers. The ring is behind this wall. You'll need to roll through some crucifixes to reach it.
Speckled Stoneplate Ring,0.9,Increases Magic/Fire/Lightning/Dark Absorption by 5% in PvE and 2% in PvP^+1 Version : 7% in PvE and 3% in PvP,Found on a corpse in Smouldering Lake behind a destructible wall on the other side from which you enter. Lure a ballista shot to break the wall apart.@+1 Version (NG+) Cemetery of Ash. In the arena where you find the first Ravenous Crystal Lizard.
Bloodbite Ring,0.6,Increases Bleed Resistance by 90 points^+1 Version : 140,Undead Settlement - In the sewers below Cliff Underside bonfire or beside the Dilapidated Bridge bonfire. The Large Hound-Rat will drop the ring.@+1 Version (NG+): Smouldering Lake - Make your way through the Demon Ruins to find it in front of the ballista.
Poisonbite Ring,0.6,Increases Poison Resistance by 90 points^+1 Version : 140,Near the first short cut at Cathedral of the Deep behind the Ravenous Crystal Lizard.@+1 Version (NG+): Undead Settlement - In the graveyard beside the white birch tree (Where the giant is shooting great arrows at you/enemies nearby) you'll find a well hidden in a corner. The ring is on a corpse behind the well.
Frostbite Ring,0.6,Increases Frost Resistance by 140,Given to you after meeting and speaking with Sister Friede near the Rope Bridge Cave bonfire in the cathedral at the Painted World of Ariandel.
Cursebite Ring,0.6,Increases Curse Resistance by 150,Profaned Capital - Toxic swamp in the cave under the wooden bridge
Fleshbite Ring,0.9,Increases Bleed/Poison/Frost/Curse Resistance by 40 points^+1 Version : 60,Grand Archives - Near the top floor of building just beyond the area with a balcony overhead and multiple Scholars there will be a set of bookcases to the right of the stairs which lead you to the room. The ring will be located in the corner past the Clawed Curses.@+1 Version (NG+): From the Tower on the Wall bonfire head down to the roof with the transforming undead on it. Before descending the ladder to progress further look to the nearby rooftop with fencing. Jumping will allow you access the rooftop and the ring will be on a corpse. The item should be visible before jumping to the rooftop.
Knight's Ring,0.8,Increases Strength by 5 points,Lothric Castle - Near the Sunlight Shrine.
Hunter's Ring,0.8,Increases Dexterity by 5 points,Grand Archives - Found at the top of a tower surrounded by three golden Winged Knights before the stairs to Prince Lothric.
Scholar Ring,0.6,Increases Intelligence by 5 points,Grand Archives - Facing the wooden bridge where the Crystal Sage teleports to there is a lever to the right tucked between the bridge and the bookcases. The ring is on a corpse in a chair in the revealed area.
Priestess Ring,0.6,Increases Faith by 5 points,Sold or dropped by the Shrine Handmaid in Untended Graves. Also dropped by the Shrine Handmaid in Untended Graves even if you've already purchased it from her.
Covetous Gold Serpent Ring,1.2,Increases item discovery by 50^+1 Version : 75^+2 Version : 100^+3 Version: 125,Found next to Siegward of Catarina when he is trapped in Irithyll Dungeon.@+1 version (NG+): From the Church of Yorshka bonfire in Irithyll of the Boreal Valley proceed beyond the graveyard to the dark room with the Irithyllian Slaves. As you're exiting the room through the wide arched doorway scan the right side for a broken section of railing where you can drop down. The ring will be on a corpse wedged in the corner of the ledge.@+2 Version (NG++): Archdragon Peak - In a large area that appears on defeating the Nameless King on the right side of the arena from the gateway that the bonfire is under. The ring rests at the top of the third stairway. You can also find the Dragonslayer Set and a Titanite Slab in this area.@+3 Version (The Ringed City): All the way down the stairs from the Shira and left and up the ladder immediately on your left in the swamp. Double back across the bridge and defeat the two Ringed Knights. On a corpse in a room past them with Lapp inside.
Covetous Silver Serpent Ring,1.2,Fallen foes yield 10% more souls^+1 Version : 20%^+2 Version : 30%^+3 Version : 35%,In a chest behind an illusory wall at the top of Firelink Shrine. Located behind Picklepum's indoor nest.@+1 Version (NG+): While progressing through Irithyll Dungeon you'll find an elevator shortcut that heads to the first bonfire of the area. This ring is located on a ledge in the elevator room.@+2 Version (NG++): Undead Settlement - In the area after meeting Siegward with the Fire Demon it is located on the roof of a shack in the far back of the area. Drop off the wooden ledge outside the room with two Cathedral Evangelists to access it.@+3 Version (The Dreg Heap) After meeting the first angel that shoots at you fall down onto the perch and continue into the open door archway. From there you should see 2 Knight enemies and on the right hand side there is an area you enter. You make a right and you should be in some small quarter areas. Proceed all the way to the furthest wall north of you. Turn to the left and hit it to reveal a fog wall. Climb the stairs there and just before you obtain Great Soul Dreg on your left there is a balcony. From that balcony you must drop down and there is the ring.
Saint's Ring,0.5,Allow attunement of additional spells,Sold by Irina of Carim for 300 souls.
Deep Ring,0.5,Allow attunement of additional spells,Drops from a Deacon in a tower outside the Cathedral of the Deep.
Darkmoon Ring,0.8,Gives 2 extra attunement slots,Rank 1 covenant reward: Blade of the Darkmoon.
Young Dragon Ring,0.7,Boosts sorcery damage by 12%,Starting equipment for the Sorcerer. Given by Orbeck of Vinheim after purchasing several spells.
Bellowing Dragoncrest Ring,1,Boosts sorcery damage by 20%,From the Irithyll Dungeon bonfire head straight into the large room and then turn right. Proceed until the end of the corridor and open the gate with the Jailbreaker's Key. The ring is on the rocks below.
Great Swamp Ring,0.7,Boosts pyromancy damage by 12%,Starting equipment for the Pyromancer. Dropped by the Great Crab up the ladder near the Farron Keep bonfire in the Road of Sacrifices.
Witch's Ring,1,Boosts pyromancy damage by 20%,Catacombs of Carthus - Just after the stray demon walking towards the Abandoned Tomb Bonfire there will be a corpse holding the ring at the end of a hallway.
Morne's Ring,0.7,Boosts miracle damage by 12%,Under the bridge between the 1st and 2nd bonfires of Road of Sacrifices. There is an area to the right of the bridge's beginning where players may drop down into the cave.
Ring of the Sun's First Born,1,Boosts miracle damage by 20%,Irithyll of the Boreal Valley - From Pontiff Sulyvahn's room head back out towards the railing and fall straight onto the altar below.
Lingering Dragoncrest Ring,0.5,Extends length of spell effect by 30%^+1 Version : 35%^+2 Version : 40%,Farron Keep - Keep Ruins bonfire. Drops from the Great Crab patrolling a white birch tree.@+1 Version (NG+): Found next to the giant crab just below the Crucifixion Woods bonfire in the Road of Sacrifices.@+2 Version (NG++): Lothric Castle - Before the Lothric Prince Boss fight there is a dome shaped roof with three golden Winged Knights. Go up the spiral staircase at the center of the dome shaped roof. You'll encounter a ladder. Don't go up the ladder. Instead go around the ledge to find this ring on a corpse hidden in an alcove.
Sage Ring,0.7,Spell casting speed increased as if you had 30 higher dexterity^+1 Version : 35^+2 Version : 40,Found to the left of the swamp area of Road of Sacrifices inside a room with an enemy.@+1 Version (NG+): Found in the rafters above the Archives. Drop down from the roof where the golden winged knights are located.@+2 Version (NG++): Consumed King's Garden - When initially taking the elevator down get off halfway to a ledge. Turn left and drop down onto some broken stairs. Pick up the item here and look to the left to find the ring on another set of broken stairs. You can get over there with a well timed roll.
Dusk Crown Ring,0.6,Reduces consumption of FP by 25% at the cost of 15% less max HP,Irithyll Dungeon - The ring is in a cell beside the open area with six patrolling Jailers.
Leo Ring,0.5,Strengthens thrust weapon counter attacks by 15%,Found in a chest on the second floor of the room with Gwynevere's painting in Irithyll of the Boreal Valley. Just beyond where the Estus Soup is placed.
Wolf Ring,0.5,Increases poise by 4^+1 Version : 6^+2 Version : 8^+3 Version : 9,Rank 2 covenant reward: Watchdogs of Farron.@+1 Version (NG+): Can be found on a corpse immediately outside the Keep Ruins bonfire building.@+2 Version (NG++): Cemetery of Ash - After the Iudex Gundyr boss fight. It's lying behind the golden door on the left.@+3 Version (The Ringed City): Dropped by Seeker of the Spurned.
Hawk Ring,0.7,Extends the range of arrows,Dropped from the Giant at the top of the tower in the Undead Settlement upon his death.
Hornet Ring,1.1,Increases Critical Damage by 30%,Untended Graves - Behind a Black Knight standing guard where the Starved Hound is found when at the Firelink Shrine.
Knight Slayer's Ring,0.9,Enemies lose 20% more stamina when guarding attacks,Defeat the dark phantom of Knight Slayer Tsorig at Catacomb of Carthus. Location to summon him is in a barred area beside the Skeleton Ball's path or the Hound-Rats. If the invasion was skipped it can be gained from killing Knight Slayer Tsorig at Smouldering Lake. After the basilisks turn left at the bottom of the stairs.
Ring of the Evil Eye,1,Absorb 30 HP from each defeated foe^+1 Version : 33 HP^+2 Version : 35 HP^+3 Version: 37 HP,Quest Reward: Anri of Astora. Obtained when Anri relocates to the Church of Yorshka.@+1 Version (NG+): Can be found just before Deacons of the Deep fight at the back of the altar.@+2 Version (NG++): High Wall of Lothric - From the second bonfire head down to the roof with the first crystal lizard and the enemy that morphs. Climb the ladder down. Run past the spear wielding Lothric knight. Head down into the room with the estus shard on the mantle. The ring will be on the wall to the left hidden behind a barrel.@+3 Version (The Ringed City): Dropped from a mimic inside the spiral crypt across the bridge from the Ringed City Streets bonfire shortcut.
Farron Ring,0.8,Reduces skill FP consumption by 25%,Acquired by talking to Hawkwood after defeating the Abyss Watchers
Dragonscale Ring,1.1,Reduced damage taken from backstabs by 30%,Consumed King's Garden - When taking the second elevator in the area which grants a shortcut get off early to reach a ledge with a Lothric Priest. The ring will be beside him.
Horsehoof Ring,0.6,Enemies lose 40% more Stamina when guarding against your kicks,Dropped by Unbreakable Patches
Wood Grain Ring,0.5,Increases weapon durability by 20%^+1 Version : 30%^+2 Version : 40%,Purchased from the Shrine Handmaid after Easterner's Ashes is turned in.@+1 Version (NG+): Behind the first elevator in the Consumed King's Garden at the bottom.@+2 Version (NG++): Irithyll of the Boreal Valley - Run past the room with the three Silver knights (room that contains Gwynevere's painting and Smough's hammer in a chest). Go outside then turn right and the ring is located in an alcove.
Flynn's Ring,0.9,Lowering equip load increases attack power up to 15%,Looted from a corpse on the top of a roof at Undead Settlement in the area where you fight the Fire Demon with Siegward of Catarina
Magic Clutch Ring,0.8,Increases magic attack by 15% in PvE and 8% in PvP and reduces Physical/Strike/Slash/Thrust Absorptions 10% in PvE and 15% in PvP,Irithyll of the Boreal Valley - From the Church of Yorshka bonfire go back the way you came from. Head down the curved staircase and then left through the archway. Ahead up more stairs and to the right of the Fire witch and 2 Pontiff Knights is an illusionary wall behind which you'll find the ring.
Fire Clutch Ring,0.8,Increases fire attack by 15% in PvE and 8% in PvP and reduces Physical/Strike/Slash/Thrust Absorptions 10% in PvE and 15% in PvP,Undead Settlement - On a corpse behind the gallows on a wooden bridge directly above the Cliff Underside Bonfire.
Lightning Clutch Ring,0.8,Increases lightning attack by 15% in PvE and 8% in PvP and reduces Physical/Strike/Slash/Thrust Absorptions 10% in PvE and 15% in PvP,Archdragon Peak - On a corpse to the left of the gate that leads to the Ancient Wyvern.
Dark Clutch Ring,0.8,Increases dark attack by 15% in PvE and 8% in PvP and reduces Physical/Strike/Slash/Thrust Absorptions 10% in PvE and 15% in PvP,Irithyll Dungeon - After passing the giant there is a hallway with rats. A mimic is at the end of the hallway on the left side that drops the ring.
Red Tearstone Ring,1.4,Increases damage by 20% when HP is below 20%,Lothric Castle - Facing away from the Dragonslayer Armour Boss there is an elevator to the left. Beside the elevator is a door to the balcony. Follow the balcony to the right to find this ring.
Blue Tearstone Ring,1.1,Decreases incoming damage by 20% (15% for PvP) when HP is below 20%,Given by Greirat of the Undead Settlement.
Lloyd's Sword Ring,0.9,Boosts Attack Rating by 10% when HP is full (over 99%),Cathedral of the Deep - On a corpse near the entrance on a ledge next to the Giant who attacks you when running by.
Lloyd's Shield Ring,0.9,Boosts Damage Absorption by 20% when HP is full (over 99%),Can be bought from the Shrine Handmaid after the Paladin's Ashes are given to her.
Carthus Milkring,0.8,Grants 3 points of Dexterity and obscures the wearer while rolling,Catacombs of Carthus - Found just after the first bonfire in a room with many vases.
Carthus Bloodring,0.8,Boosts rolling invincibility at the cost of defense (decreases Absorption by 30%),Catacombs of Carthus - Past the wheel skeletons after the second bonfire.
Pontiff's Right Eye,1.4,Boosts Attack Power in stages - +3%/+5%/+10% as long as attacking persists,Irithyll of the Boreal Valley - Drops from the Sulyvahn's Beast who spawns either on the bridge entering Irithyll or the water below the bridge if you fail to kill it the first time.
Pontiff's Left Eye,0.9,Restores 30 HP after a certain amount of successive attacks,Soul Transposition using Soul of Boreal Valley Vordt.
Aldrich's Ruby,0.8,Recovers 85 HP from critical attacks,Anor Londo - Dropped by the Deep Accursed.
Aldrich's Sapphire,0.8,Recovers 15 FP from critical attacks,Cathedral of the Deep - Dropped by the Deep Accursed.
Silvercat Ring,0.6,Removes fall damage (falling a lethal distance still kills you),Given by Sirris of the Sunless Realms after helping her defeat Creighton in Irithyll of the Boreal Valley.
Slumbering Dragoncrest Ring,0.7,Movement and rolling make no sound and enemies won't react to your movement sounds,Given by Orbeck of Vinheim after you have purchased Aural Decoy/Farron Flashsword/Pestilent Mist/Spook.
Obscuring Ring,0.9,Enemies need to be closer to notice you with sight and you are invisible to other players beyond a certain distance,Rank 1 covenant reward: Rosaria's Fingers.@Note: In order to get this ring and the Silvercat Ring in one playthrough you must only offer the Pale Tongues to Rosaria after getting the Silvercat ring from Sirris of the Sunless Realms.
Untrue Dark Ring,0.7,Retain human appearance while hollow and disguise as a host in other worlds,Purchased from Yuria of Londor.
Untrue White Ring,0.7,Take the appearance of a white phantom at all times,Purchased from Yuria of Londor.
Reversal Ring,0.5,Use the animations of the opposite gender,Found in the Darkmoon Tomb in Anor Londo to the right of the altar. The Darkmoon Tomb is hidden behind an illusory wall in the circular room before the lever which controls the platform leading to the Anor Londo bonfire.
Skull Ring,0.6,Easier to be detected by enemies,Dropped from Ludleth of Courland when killed or can be obtained by visiting his throne before beginning the next Journey.
Calamity Ring,0.8,Reduces Absorptions by 100%,Archdragon Peak - Use the 'Path of the Dragon' gesture at the altar near the Dragon-Kin Mausoleum bonfire. The Drakeblood Knight spawns just next to this altar.
Ring of Sacrifice,1,Its wearer will lose nothing upon death but the ring itself breaks,High Wall of Lothric - On an awning reachable by a minor jump in the courtyard. This area is patrolled by a Winged Knight and the stairs that lead to the platform which players must jump from is guarded by a Hollow Soldier.@Yuria of Londor (or Shrine Handmaiden if given Yuria's ashes) - Three of them can be bought from her for 5000 souls each.@Road of Sacrifices - One can be found on a corpse hanging on a ledge overlooking the Crucifixion Woods.@Consumed King's Garden - One can be found on a corpse in the toxic swamp to the left exiting the initial elevator.@'Nestling' Crow atop Firelink Shrine - Give Loretta's Bone to the Crow to receive a Ring of Sacrifice.
