,Requirements,,,,,,Normal +10/+5,,,,,Auxiliary Damage,,,Scaling (+10/+5),,,,,,,,,,,
Weapon,STR,DEX,INT,FTH,Units,Crit,Phy,Magic,Fire,Light,Dark,Bleed,Poison,Frost,S,Dx,I,F,Weapon Type,Damage Type,Skill,Spell Buff,Buffable,Upgrade Material,AR,Notes
Battle Axe,12,8,,,4,100,250,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,433,
Man Serpent Hatchet,16,13,,,4,100,250,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,433,
Brigand Axe,14,8,,,3,100,248,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,432,
Winged Knight Twinaxes,20,12,,,8.5,100,244,,,,,,,,C,D,,,Axe,Standard,Chain Spin,,Y,Titanite,423,
Eleonora,20,8,,,6.5,100,284,,,,,,,,D,D,,,Axe,Standard,Feast Bell,,N,Titanite,421,
Hand Axe,9,8,,,2.5,100,220,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,404,
Butcher Knife,24,,,,7,100,190,,,,,,,,S,,,,Axe,Slash,Sharpen,,N,Titanite,397,
Thrall Axe,8,8,,,1.5,100,208,,,,,,,,C,C,,,Axe,Standard,Quickstep,,Y,Titanite,384,
Dragonslayer's Axe,18,14,,,4,100,180,,,180,,,,,D,D,,,Axe,Standard,Warcry,,N,Twinkling,274,
Dragonrider Bow,19,15,,,6.5,100,200,,,,,,,,D,D,,,Bow,Projectile,Puncture,,N,Twinkling,296,
Composite Bow,12,12,,,3.5,100,146,,,,,,,,D,D,,,Bow,Projectile,Rapid Fire,,N,Titanite,247,
Black Bow of Pharis,9,18,,,3,100,134,,,,,,,,D,B,,,Bow,Projectile,Pharis Triple-Shot,,N,Titanite,246,
Longbow,9,14,,,4,100,164,,,,,,,,E,D,,,Bow,Projectile,Puncture,,N,Titanite,241,
Short Bow,7,12,,,2,100,154,,,,,,,,E,D,,,Bow,Projectile,Rapid Fire,,N,Titanite,228,
Darkmoon Longbow,7,16,10,,4.5,100,66,80,,,,,,,,E,B,,Bow,Projectile,Darkmoon Arrow,,N,Scale,79,
Manikin Claws,8,18,,,2,100,158,,,,,34,,,D,C,,,Claw,Slash,Quickstep,,Y,Titanite,275,
Claw,6,14,,,1.5,100,150,,,,,33,,,E,C,,,Claw,Slash,Leaping Slash,,Y,Titanite,260,
Arbalest,18,8,,,6,100,156,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,156,
Heavy Crossbow,14,8,,,4.5,100,144,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,144,
Sniper Crossbow,18,16,,,7.5,100,140,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,140,
Avelyn,16,14,,,7.5,100,128,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,128,
Light Crossbow,10,8,,,3,100,128,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,128,
Knight's Crossbow,12,8,,,4,100,80,,,80,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,80,
Old Wolf Curved Sword,19,25,,,13,100,280,,,,,,,,D,B,,,Curved Greatsword,Slash,Wolf Leap,,Y,Twinkling,553,
